index	question	sentence	label	manually
0	Where does the Rhine encounter it's tributary the Neckar?	The Rhine is the longest river in Germany.	entailment	not_entailment
1	In which year did Alexander Dyce bequeathed his books to the museum?	These were bequeathed with over 18,000 books to the museum in 1876 by John Forster.	not_entailment	entailment
2	What scientist told the French Academy of Sciences that he had found how to liquefy oxygen?	Just two days later, French physicist Louis Paul Cailletet announced his own method of liquefying molecular oxygen.	not_entailment	entailment
3	Inequality in the presence of credit market imperfections has what kind of effect on human capital formation?	He showed that, in accordance with the credit market imperfection approach, inequality is associated with lower level of human capital formation (education, experience, and apprenticeship) and higher level of fertility, and thereby lower levels of growth.	not_entailment	entailment
4	What is the largest ABC station operator in terms of market reach?	"""The Sinclair Broadcast Group is the largest operator of ABC stations by numerical total, owning or providing services to 28 ABC affiliates and two additional subchannel-only affiliates; Sinclair owns the largest ABC subchannel affiliate by market size, WABM-DT2/WDBB-DT2 in the Birmingham market, which serve as repeaters of WBMA-LD (the largest low-power """"Big Four"""" affiliate by market size, which itself is also simulcast on a subchannel of former WBMA satellite WGWW, owned by Sinclair partner company Howard Stirk Holdings)."""	not_entailment	entailment
5	What spurred increased support for government reform?	In 1964 all 15 of Duval County's public high schools lost their accreditation.	entailment	not_entailment
6	Who reportedly wanted Tesla's company?	""""""" There have been numerous accounts of women vying for Tesla's affection, even some madly in love with him.[citation needed]"""	entailment	not_entailment
7	How much has global mean surface air temperature changed in the last century?	"""They predict that under a """"business as usual"""" (BAU) scenario, global mean temperature will increase by about 0.3 °C per decade during the [21st] century."""	not_entailment	not_entailment
8	Complexity classes are generally classified into what?	Of course, some complexity classes have complicated definitions that do not fit into this framework.	entailment	not_entailment
9	What did the Ominde Commission do?	After Kenya's independence on 12 December 1963, an authority named the Ominde Commission was formed to introduce changes that would reflect the nation's sovereignty.	not_entailment	entailment
10	Who assisted Wesley with ordaining Whatcoat and Vasey as presbyters?	As a result of the American Revolution, John Wesley was compelled in 1784 to break with standard practice and ordain two of his lay preachers as presbyters, Thomas Vasey and Richard Whatcoat.	not_entailment	entailment
11	What has the United Nations designed ISIL?	The group has been designated a terrorist organisation by the United Nations, the European Union and member states, the United States, India, Indonesia, Turkey, Saudi Arabia, Syria and other countries.	entailment	entailment
12	What dilemma is a good example of moral civil disobedience?	"""The Fully Informed Jury Association's publication """"A Primer for Prospective Jurors"""" notes, """"Think of the dilemma faced by German citizens when Hitler's secret police demanded to know if they were hiding a Jew in their house."""""""	entailment	entailment
13	What is another name for the Yosemite Freeway?	State Route 41	entailment	entailment
14	When a commission reached no decision, what happened?	Frontiers from between Nova Scotia and Acadia in the north, to the Ohio Country in the south, were claimed by both sides.	entailment	entailment
15	Where does southern California's megalopolis standard in terms of population nationwide?	It is the third most populated megalopolis in the United States, after the Great Lakes Megalopolis and the Northeastern megalopolis.	entailment	entailment
16	What are the secondary sources of primary law?	The three sources of European Union law are primary law, secondary law and supplementary law.	not_entailment	entailment
17	How much resources were French placing in North America?	William Pitt came to power and significantly increased British military resources in the colonies at a time when France was unwilling to risk large convoys to aid the limited forces it had in New France.	entailment	not_entailment
18	What is the animal that the Rhine's islands are named after?	"""In the local Alemannic dialect, the singular is pronounced """"Isel"""" and this is also the local pronunciation of Esel (""""Donkey"""")."""	entailment	not_entailment
19	What was used to create a new electromagnetic theory to reconcile the troubles with electromagnetic theory as it used to stand?	However, attempting to reconcile electromagnetic theory with two observations, the photoelectric effect, and the nonexistence of the ultraviolet catastrophe, proved troublesome.	not_entailment	not_entailment
20	What country was under the control of Norman barons?	These Normans began a long period of slow conquest during which almost all of Wales was at some point subject to Norman interference.	entailment	entailment
21	What did Tymnet connect	Tymnet was also connected to dozens of other public networks in the U.S. and internationally via X.25/X.75 gateways.	not_entailment	entailment
22	What has the United Nations designed ISIL?	"""The United Nations has held ISIL responsible for human rights abuses and war crimes, and Amnesty International has reported ethnic cleansing by the group on a """"historic scale""""."""	not_entailment	not_entailment
23	Who missed a field goal for the Panthers?	After the miss, Manning completed a pair of passes to Emmanuel Sanders for gains of 25 and 22 yards, setting up McManus' 33-yard field goal that gave the Broncos a 16–7 lead.	not_entailment	entailment
24	How do competing businesses attract workers?	Their competitors will take advantage of the situation by offering a higher wage the best of their labor.	entailment	entailment
25	What native chief travelled to French fort and threatened Marin?	Tanaghrisson, a chief of the Mingo, who were remnants of Iroquois and other tribes who had been driven west by colonial expansion.	entailment	entailment
26	What was the title of Philo's work?	One of the first known experiments on the relationship between combustion and air was conducted by the 2nd century BCE Greek writer on mechanics, Philo of Byzantium.	not_entailment	not_entailment
27	What company was this the last Super Bowl they would let customers have an opportunity to get their own commercial ideas aired?	"""It was also the final year that Doritos, a longtime sponsor of the game, held its """"Crash the Super Bowl"""" contest that allowed viewers to create their own Doritos ads for a chance to have it aired during the game."""	entailment	entailment
28	What kind of needlework was used in the creation of the Bayeux Tapestry?	By far the most famous work of Norman art is the Bayeux Tapestry, which is not a tapestry but a work of embroidery.	entailment	not_entailment
29	Who published Tesla's writings?	Among his books are My Inventions: The Autobiography of Nikola Tesla, compiled and edited by Ben Johnston; The Fantastic Inventions of Nikola Tesla, compiled and edited by David Hatcher Childress; and The Tesla Papers.	not_entailment	entailment
30	For how long did Tesla receive this compensation?	Starting in 1934, the Westinghouse Electric & Manufacturing Company began paying Tesla $125 per month as well as paying his rent at the Hotel New Yorker, expenses the Company would pay for the rest of Tesla's life.	entailment	entailment
31	What did mlolongo system lead to?	The election held in 1988 saw the advent of the mlolongo (queuing) system, where voters were supposed to line up behind their favoured candidates instead of a secret ballot.	not_entailment	entailment
32	What was Tesla's father's name?	Tesla's mother, Đuka Tesla (née Mandić), whose father was also an Orthodox priest,:10 had a talent for making home craft tools, mechanical appliances, and the ability to memorize Serbian epic poems.	not_entailment	not_entailment
33	Prior to Super Bowl 50, when were the Carolina Panthers last there?	The Broncos made their second Super Bowl appearance in three years, having reached Super Bowl XLVIII, while the Panthers made their second Super Bowl appearance in franchise history, their other appearance being Super Bowl XXXVIII.	entailment	entailment
34	Who was chairman of the House Science Committee?	On 23 June 2005, Rep. Joe Barton, chairman of the House Committee on Energy and Commerce wrote joint letters with Ed Whitfield, Chairman of the Subcommittee on Oversight and Investigations demanding full records on climate research, as well as personal information about their finances and careers, from Mann, Bradley and Hughes.	not_entailment	not_entailment
35	Where was Dyrrachium located?	Some time later, Dyrrachium—one of the most important naval bases of the Adriatic—	entailment	entailment
36	What film did Lionsgate pay to have the trailer aired during the Super Bowl?	20th Century Fox, Lionsgate, Paramount Pictures, Universal Studios and Walt Disney Studios paid for movie trailers to be aired during the Super Bowl.	not_entailment	not_entailment
37	How was Temüjin kept imprisoned by the Tayichi'ud?	In another incident, around 1177, he was captured in a raid and held prisoner by his father's former allies, the Tayichi'ud.	not_entailment	entailment
38	What part of the Rhine flows west at Katwijk?	"""From Wijk bij Duurstede, the old north branch of the Rhine is called Kromme Rijn (""""Bent Rhine"""") past Utrecht, first Leidse Rijn (""""Rhine of Leiden"""") and then, Oude Rijn (""""Old Rhine"""")."""	entailment	not_entailment
39	What was the horsepower put out by the turbines in Waterside Power Station	On his 50th birthday in 1906, Tesla demonstrated his 200 horsepower (150 kilowatts) 16,000 rpm bladeless turbine.	not_entailment	not_entailment
40	How would the geographical societies in Europe support certain travelers?	These societies also served as a space for travellers to share these stories.	not_entailment	not_entailment
41	What is the festival of food and drink known as?	EAT!	entailment	entailment
42	Where does centripetal force go?	This yields both the tangential force, which accelerates the object by either slowing it down or speeding it up, and the radial (centripetal) force, which changes its direction.	not_entailment	not_entailment
43	What is the frequency of the radio station WBT in North Carolina?	WBT will also simulcast the game on its sister station WBT-FM (99.3 FM), which is based in Chester, South Carolina.	not_entailment	not_entailment
44	What type of steam engines produced most power up to the early 20th century?	"""Considering that the great majority of worldwide electric generation is produced by turbine type steam engines, the """"steam age"""" is continuing with energy levels far beyond those of the turn of the 19th century."""	not_entailment	not_entailment
45	What did Tesla design several experimental setups to produce?	In March 1896, after hearing of Wilhelm Röntgen's discovery of X-ray and X-ray imaging (radiography), Tesla proceeded to do his own experiments in X-ray imaging, developing a high energy single terminal vacuum tube of his own design that had no target electrode and that worked from the output of the Tesla Coil (the modern term for the phenomenon produced by this device is bremsstrahlung or braking radiation).	not_entailment	not_entailment
46	What are two factors that directly effect how powerful a Turing machine may or may not be?	They are all equally powerful in principle, but when resources (such as time or space) are bounded, some of these may be more powerful than others.	entailment	entailment
47	What did the SNP publicly opine about the oil revenues?	The party argued that the revenues from the oil were not benefitting Scotland as much as they should.	entailment	entailment
48	What was the definition of professionals, for this study?	A study in England showed a 0.3% prevalence of sexual abuse by any professional, a group that included priests, religious leaders, and case workers as well as teachers.	entailment	entailment
49	What battle outside Quebec City did British lose in 1760?	British victories continued in all theaters in the Annus Mirabilis of 1759, when they finally captured Ticonderoga, James Wolfe defeated Montcalm at Quebec (in a battle that claimed the lives of both commanders), and victory at Fort Niagara successfully cut off the French frontier forts further to the west and south.	not_entailment	not_entailment
50	What have some inverted repeats become?	It is possible that the inverted repeats help stabilize the rest of the chloroplast genome, as chloroplast DNAs which have lost some of the inverted repeat segments tend to get rearranged more.	not_entailment	not_entailment
51	What branch is independant of the other branches?	The Judiciary is independent of the executive and the legislature.	entailment	not_entailment
52	What happens to reactive oxygen species signals since they don't leave the chloroplast?	After detecting stress in a cell, which might be due to a pathogen, chloroplasts begin producing molecules like salicylic acid, jasmonic acid, nitric oxide and reactive oxygen species which can serve as defense-signals.	not_entailment	entailment
53	At what rank does GPS per capita set Victoria?	Victoria's total gross state product (GSP) is ranked second in Australia, although Victoria is ranked fourth in terms of GSP per capita because of its limited mining activity.	entailment	entailment
54	How are 'un-aided' schools different from 'aided' schools?	The private 'un-aided' schools are fully funded by private parties.	entailment	entailment
55	What must a project adhere to?	Constructing a project that fails to adhere to codes does not benefit the owner.	not_entailment	not_entailment
56	Imperialism and colonialism both assert a states dominance over what?	Imperialism and colonialism have been used in order to describe one's superiority, domination and influence upon a person or group of people.	entailment	entailment
57	What else did the new consitution change?	As of that day, the new constitution heralding the Second Republic came into force.	not_entailment	not_entailment
58	Where did the Huguenots land in New York originally?	"""It is said that they landed on the coastline peninsula of Davenports Neck called """"Bauffet's Point"""" after traveling from England where they had previously taken refuge on account of religious persecution, four years before the revocation of the Edict of Nantes."""	entailment	entailment
59	What famous composer used a Lutheran hymn in his work?	Luther adopted a preexisting Johann Walter tune associated with a hymnic setting of Psalm 67's prayer for grace; Wolf Heintz's four-part setting of the hymn was used to introduce the Lutheran Reformation in Halle in 1541.	not_entailment	not_entailment
60	What proclamation officially ended limited Huguenot autonomy?	Even before the Edict of Alès (1629), Protestant rule was dead and the ville de sûreté was no more.[citation needed]	entailment	not_entailment
61	What kind of techniques were used to create the theme?	New techniques were invented to allow mixing of the music, as this was before the era of multitrack tape machines.	not_entailment	not_entailment
62	Why was there a depreciation of the industrialized nations dollars?	The result was a depreciation of the dollar and other industrialized nations' currencies.	not_entailment	not_entailment
63	How has this debate been proven?	There is debate, however, over how extensive this reduction was.	not_entailment	not_entailment
64	How many elements did Aristotle believe the terrestrial sphere to be made up of?	Aristotle believed that motionless objects on Earth, those composed mostly of the elements earth and water, to be in their natural place on the ground and that they will stay that way if left alone.	not_entailment	entailment
65	What industry has managed to survive major military spending cutbacks?	Since the 1920s, motion pictures, petroleum and aircraft manufacturing have been major industries.	not_entailment	not_entailment
66	How many times prios has the Sun Life Stadium had Super Bowls?	The South Florida/Miami area has previously hosted the event 10 times (tied for most with New Orleans), with the most recent one being Super Bowl XLIV in 2010.	entailment	entailment
67	What can lead to higher wages for members of labor organizations?	Professional and labor organizations may limit the supply of workers which results in higher demand and greater incomes for members.	not_entailment	entailment
68	By which year did Chrysler ended its full sized luxury model?	"""By 1979, virtually all """"full-size"""" American cars had shrunk, featuring smaller engines and smaller outside dimensions."""	not_entailment	entailment
69	What is another term for Tesla's visualization ability?	Just by hearing the name of an item, he would be able to envision it in realistic detail.:33 Tesla would visualize an invention in his mind with extreme precision, including all dimensions, before moving to the construction stage, a technique sometimes known as picture thinking.	entailment	entailment
70	What countries does Kenya compete with for long distance running?	The country is known chiefly for its dominance in middle-distance and long-distance athletics, having consistently produced Olympic and Commonwealth Games champions in various distance events, especially in 800 m, 1,500 m, 3,000 m steeplechase, 5,000 m, 10,000 m and the marathon.	not_entailment	entailment
71	What kind of fiction is Tesla's work featured in?	Tesla's legacy has endured in books, films, radio, TV, music, live theater, comics and video games.	not_entailment	not_entailment
72	Which Buddhist monastery hosted the Genghis Khan mausoleum during the Japanese occupation?	It was taken through Communist-held territory in Yan'an some 900 km on carts to safety at a Buddhist monastery, the Dongshan Dafo Dian, where it remained for ten years.	entailment	entailment
73	What forest is by Warsaw's southern border?	Bielany Forest, located within the borders of Warsaw, is the remaining part of the Masovian Primeval Forest.	not_entailment	not_entailment
74	What was the Yuan dynasty called in Mongolian?	"""The Yuan dynasty is also known as the """"Mongol dynasty"""" or """"Mongol Dynasty of China"""", similar to the names """"Manchu dynasty"""" or """"Manchu Dynasty of China"""" for the Qing dynasty."""	not_entailment	not_entailment
75	What year marked the lowest ratings for the drama Lost?	That year, the sixth and final season of Lost became the drama's lowest-rated season since its debut in 2004.	not_entailment	not_entailment
76	What is the key accomplishment of Genghis Khan that modern Mongolians celebrate?	He is looked upon positively by Mongolians for his role in uniting warring tribes.	entailment	entailment
77	What does ABC on Demand disallow for online viewers?	Restrictions implemented by Disney–ABC Television Group on January 7, 2014 restrict streaming of the most recent episode of any ABC program on Hulu and WATCH ABC until eight days after their initial broadcast, in order to encourage live or same-week (via both DVR and cable on demand) viewing, with day-after-air streaming on either service limited to subscribers of participating pay television providers (such as Comcast, Verizon FiOS and Time Warner Cable) using an ISP account via an authenticated user login.	not_entailment	not_entailment
78	Some of the objects held in the Jameel Gallery of Islamic Art come from which European country?	The Jameel Gallery of Islamic Art, opened in 2006, houses a representative display of 400 objects with the highlight being the Ardabil Carpet, the centrepiece of the gallery.	not_entailment	not_entailment
79	What were the protesters doing with Christ's counsel?	"""Lastly, Luther charged the rebels with blasphemy for calling themselves """"Christian brethren"""" and committing their sinful acts under the banner of the Gospel."""	not_entailment	not_entailment
80	What runs from the balancer in the statocyst to the comb rows?	There are eight rows of combs that run from near the mouth to the opposite end, and are spaced evenly round the body.	not_entailment	not_entailment
81	What is the smalled work force sector?	22% of GDP still comes from the unreliable agricultural sector which employs 75% of the labour force (a consistent characteristic of under-developed economies that have not attained food security – an important catalyst of economic growth)	not_entailment	not_entailment
82	What does connecting different Sky Q boxes enable them to do?	The Sky Q Mini set top boxes connect to the Sky Q Silver set top boxes with a Wi-Fi or Power-line connection rather than receive their own satellite feeds.	not_entailment	not_entailment
83	What system did Tesla recommend to Niagara Falls in 1893?	Tesla advised Adams that a two-phased system would be the most reliable and that there was a Westinghouse system to light incandescent bulbs using two-phase alternating current.	entailment	entailment
84	What medical appliance can be a concern for oxygen toxicity?	Oxygen gas (O_2) can be toxic at elevated partial pressures, leading to convulsions and other health problems.[j]	not_entailment	not_entailment
85	In which year did the museum started charging free admission fees?	Like other national British museums, entrance to the museum has been free since 2001.	entailment	entailment
