question	sentence	index	times
Cubism revolutionized the way things could be seen in art how?	This new kind of depiction revolutionized the way objects could be visualized in painting and art.	not_entailment	1
Who signed NAFTA for Mexico?	The economic reforms of President Carlos Salinas de Gortari had a tremendous effect on the city, as a number of businesses, including banks and airlines, were privatized.	entailment	1
The 1998 Good Friday Agreement resulted in what arrangement?	The Northern Ireland Executive and the Government of Ireland also meet as the North/South Ministerial Council to develop policies common across the island of Ireland.	entailment	1
What was AUSTPAC	Started by Telecom Australia in the early 1980s, AUSTPAC was Australia's first public packet-switched data network, supporting applications such as on-line betting, financial applications — the Australian Tax Office made use of AUSTPAC — and remote terminal access to academic institutions, who maintained their connections to AUSTPAC up until the mid-late 1990s in some cases.	not_entailment	1
Who missed a field goal for the Panthers?	But the Broncos defense halted the drive on the 26-yard line, and it ended with no points when Graham Gano hit the uprights on a 44-yard field goal attempt.	entailment	1
What does it mean when someones sexualiity is fluid?	such that one's sexual orientation is not necessarily stable or consistent over time but is subject to change throughout life.	entailment	1
What did the Mongol elites wish Buyantu didn't do?	He was the first Yuan emperor to actively support and adopt mainstream Chinese culture after the reign of Kublai, to the discontent of some Mongol elite.	entailment	1
What is considered to be the the Korean War's equivalent to Gettysburg?	In mid-February, the PVA counterattacked with the Fourth Phase Offensive and achieved initial victory at Hoengseong.	entailment	1
What was the GDP growth rate of Greece in 2013?	Greece achieved a real GDP growth rate of 0.7% in 2014 after 6 years of economic decline, but fell back into recession in 2015.	not_entailment	1
Who ordered that a hymn be composed that first mentioned the Somalis?	During the wars between the Sultanate of Ifat based at Zeila and the Solomonic Dynasty, the Abyssinian Emperor had one of his court officials compose a hymn celebrating a military victory over the Sultan of Ifat's eponymous troops.	entailment	1
What kind of bureaucracy did the Normans institute?	Institutionally, the Normans combined the administrative machinery of the Byzantines, Arabs, and Lombards with their own conceptions of feudal law and order to forge a unique government.	not_entailment	1
Who had Toghtogha tried to defeat?	He had tried to regain Khanbaliq, which eventually failed; he died in Yingchang (located in present-day Inner Mongolia)	not_entailment	1
What do ctenophores have that no other animals have?	Ctenophores form an animal phylum that is more complex than sponges, about as complex as cnidarians (jellyfish, sea anemones, etc.), and less complex than bilaterians (which include almost all other animals).	not_entailment	1
Where is the neighborhood of Sunnyside located in Fresno?	"""Although parts of Sunnyside are within the City of Fresno, much of the neighborhood is a """"county island"""" within Fresno County."""	not_entailment	1
How was the fate of Luther decided?	"""The Emperor presented the final draft of the Edict of Worms on 25 May 1521, declaring Luther an outlaw, banning his literature, and requiring his arrest: """"We want him to be apprehended and punished as a notorious heretic."""	not_entailment	1
What types of European groups were able to avoid the plague?	The plague was somewhat less common in parts of Europe that had smaller trade relations with their neighbours, including the Kingdom of Poland, the majority of the Basque Country, isolated parts of Belgium and the Netherlands, and isolated alpine villages throughout the continent.	entailment	1
How many member of the Association of American Universities are in Boston?	Four members of the Association of American Universities are in Greater Boston (more than any other metropolitan area):	not_entailment	1
What kind of bombing raids were most favored?	It was thought there was no defence against air attack, particularly at night.	entailment	1
Who wrote the story on Tulisa Contostavlos?	On Sunday's undercover reporter Mahzer Mahmood, who had previously worked for the News of the World.	entailment	1
What festival is held in October in Newcastle?	The SAMA Festival, an East Asian cultural festival is also held in early October.	not_entailment	1
What geographical region lies west of the Tennessee bottom land?	To the west of this narrow strip of land is a wide area of rolling hills and streams that stretches all the way to the Mississippi River; this area is called the Tennessee Bottoms or bottom land.	not_entailment	1
Because higher performance was needed, Krupp's workers designed what?	Germany's high-altitude needs were originally going to be filled by a 75 mm gun from Krupp, designed in collaboration with their Swedish counterpart Bofors, but the specifications were later amended to require much higher performance.	not_entailment	1
What percentage of loanwords are present in Dutch vocabulary?	The main foreign influence on Dutch vocabulary since the 12th century and culminating in the French period has been French and (northern) French, accounting for an estimated 6.8%, or more than a third of all loanwords.	not_entailment	1
Where was media day for Super Bowl 50 held?	The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night.	not_entailment	1
Which companies did Nintendo try to get to make a CD add-on for the SNES?	During the SNES's life, Nintendo contracted with two different companies to develop a CD-ROM-based peripheral for the console to compete with Sega's CD-ROM based addon, Mega-CD.	not_entailment	1
What number was the Tironian note visually similar to?	The remaining 20 Latin letters were supplemented by four more: ⟨æ⟩ (æsc, modern ash) and ⟨ð⟩ (ðæt, now called eth or edh), which were modified Latin letters, and thorn ⟨þ⟩ and wynn ⟨ƿ⟩, which are borrowings from the futhorc.	entailment	1
When was he elected by Nixon?	In 1973, Nixon named William E. Simon as the first Administrator of the Federal Energy Office, a short-term organization created to coordinate the response to the embargo.	entailment	1
Where is the border of Swiss and Austria?	The Rhine flows into it from the south following the Swiss-Austrian border.	not_entailment	1
"""Who recognizes the """"Middle East and North Africa"""" region?"""	UNESCO recognizes neither a Near East nor a Middle East, dividing the countries instead among three regions: Arab States, Asia and the Pacific, and Africa.	not_entailment	1
Who did Genghis Khan charge with finding and punishing the Shah?	Genghis Khan ordered Subutai and Jebe to hunt him down, giving them 20,000 men and two years to do this.	entailment	1
What project structures assist the owner in integration?	In general, each of these project structures allows the owner to integrate the services of architects, interior designers, engineers and constructors throughout design and construction.	not_entailment	1
"""What is the 'Early Modern period"""" known as in Japan?"""	In Japan, the Edo period from 1600 to 1868 is also referred to as the early modern period.	not_entailment	1
The mahayana occasionally referred to early Buddhism as what?	"""Jonathan Silk has argued that the term """"Hinayana"""" was used to refer to whomever one wanted to criticize on any given occasion, and did not refer to any definite grouping of Buddhists."""	entailment	1
How many horsepower did Tesla's bladeless turbine have?	During 1910–1911 at the Waterside Power Station in New York, several of his bladeless turbine engines were tested at 100–5,000 hp.	not_entailment	1
Eye gaze, vocalization and body posture are examples of what?	"""Dog communication is about how dogs """"speak"""" to each other, how they understand messages that humans send to them, and how humans can translate the ideas that dogs are trying to transmit.:xii"""	entailment	1
What march successfully pressured the national government to sign the ILO Convetion 169?	That march successfully pressured the national government to sign the ILO Convention 169 and to begin the still-ongoing process of recognizing and titling indigenous territories.	not_entailment	1
Alhazen's  experimental proof of the intromission model of vision led to the change of understanding of what?	His experimental proof of the intromission model of vision led to changes in the understanding of the visual perception of space, contrary to the previous emission theory of vision supported by Euclid and Ptolemy.	not_entailment	1
What was the horsepower put out by the turbines in Waterside Power Station	On his 50th birthday in 1906, Tesla demonstrated his 200 horsepower (150 kilowatts) 16,000 rpm bladeless turbine.	not_entailment	1
What was the population of the Dutch Republic before this emigration?	This was a huge influx as the entire population of the Dutch Republic amounted to ca.	not_entailment	1
Who did BSkyB team up with because it was not part of the consortium?	While BSkyB had been excluded from being a part of the ONdigital consortium, thereby making them a competitor by default, BSkyB was able to join ITV Digital's free-to-air replacement, Freeview, in which it holds an equal stake with the BBC, ITV, Channel 4 and National Grid Wireless.	entailment	1
Where do a majority of consultant pharmacists tend to work?	This trend may be gradually reversing as consultant pharmacists begin to work directly with patients, primarily because many elderly people are now taking numerous medications but continue to live outside of institutional settings.	not_entailment	1
How much Victorian farmland is farmed in grains?	More than 26,000 square kilometres (10,000 sq mi) of Victorian farmland are sown for grain, mostly in the state's west.	entailment	1
What does oxygen the basis for in combustion?	Fire and explosion hazards exist when concentrated oxidants and fuels are brought into close proximity; an ignition event, such as heat or a spark, is needed to trigger combustion.	not_entailment	1
What protein carries the majority of copper in blood?	Copper transport here involves the protein ceruloplasmin, which carries the majority of copper in blood.	not_entailment	1
Who first patented a method to produce high-brightness blue LEDs?	Building upon this foundation, Dr. Moustakas at Boston University patented a method for producing high-brightness blue LEDs using a new two-step process.	not_entailment	1
Who recovered Tolbert's fumble?	The Panthers could not gain any yards with their possession and had to punt.	not_entailment	1
Which uses of sculpture are represented in the collection?	The sculpture collection at the V&A is the most comprehensive holding of post-classical European sculpture in the world.	not_entailment	1
What is the ABC affiliate that serves Lima, Ohio?	Currently, New Jersey, Rhode Island and Delaware are the only U.S. states where ABC does not have a locally licensed affiliate (New Jersey is served by New York City O&O WABC-TV and Philadelphia O&O WPVI-TV; Rhode Island is served by New Bedford, Massachusetts-licensed WLNE; and Delaware is served by WPVI and Salisbury, Maryland affiliate WMDT).	not_entailment	1
The largest construction projects are known as what?	The largest construction projects are referred to as megaprojects.	entailment	1
Which Doctor Who-related song reached Number One in the UK?	"""In 1988 the band The Justified Ancients of Mu Mu (later known as The KLF) released the single """"Doctorin' the Tardis"""" under the name The Timelords, which reached No. 1 in the UK and No. 2 in Australia; this version incorporated several other songs, including """"Rock and Roll Part 2"""" by Gary Glitter (who recorded vocals for some of the CD-single remix versions of """"Doctorin' the Tardis"""")."""	entailment	1
What is terra preta called?	Terra preta (black earth), which is distributed over large areas in the Amazon forest, is now widely accepted as a product of indigenous soil management.	entailment	1
In China, this person inferred that the land was formed by erosion of the mountains and by silt deposition, what was his name?	In China, the polymath Shen Kuo (1031–1095) formulated a hypothesis for the process of land formation: based on his observation of fossil animal shells in a geological stratum in a mountain hundreds of miles from the ocean, he inferred that the land was formed by erosion of the mountains and by deposition of silt.	entailment	1
Where is eating insects considered taboo?	According to cultural materialist anthropologist Marvin Harris, the eating of insects is taboo in cultures that have other protein sources such as fish or livestock.	not_entailment	1
People of what nationality invented the steam turbine?	Land-based steam engines could exhaust much of their steam, as feed water was usually readily available.	not_entailment	1
What medical appliance can be a concern for oxygen toxicity?	Oxygen gas (O_2) can be toxic at elevated partial pressures, leading to convulsions and other health problems.[j]	not_entailment	1
When did the 1973 oil crisis begin?	"""It was later called the """"first oil shock"""", followed by the 1979 oil crisis, termed the """"second oil shock."""""""	not_entailment	1
Who is also known at the father of the hydrogen bomb?	"""Notable faculty in physics have included the speed of light calculator A. A. Michelson, elementary charge calculator Robert A. Millikan, discoverer of the Compton Effect Arthur H. Compton, the creator of the first nuclear reactor Enrico Fermi, """"the father of the hydrogen bomb"""" Edward Teller, """"one of the most brilliant and productive experimental physicists of the twentieth century"""	entailment	1
Who granted Newcastle a new charter in 1589?	Incorporated first by Henry II, the city had a new charter granted by Elizabeth in 1589.	entailment	1
Great Smoky mountain and Blue Ridge Parkway are located in what mountain range?	Every year the Appalachian Mountains attract several million tourists to the Western part of the state, including the historic Biltmore Estate.	entailment	1
What kind of techniques were used to create the theme?	New techniques were invented to allow mixing of the music, as this was before the era of multitrack tape machines.	not_entailment	1
What is another type of accountant other than a CPA?	Teaching may be carried out informally, within the family, which is called homeschooling, or in the wider community.	not_entailment	1
What did the Church do when Luther refused to retract his writings?	Luther came to reject several teachings and practices of the Late Medieval Catholic Church.	not_entailment	1
When did the so called gentlemen's agreement between Sadat and the Islamists break down?	"""This """"gentlemen's agreement"""" between Sadat and Islamists broke down in 1975 but not before Islamists came to completely dominate university student unions."""	entailment	1
Who was Louis XIV's main rival?	Stadtholder William III of Orange, who later became King of England, emerged as the strongest opponent of king Louis XIV after the French attacked the Dutch Republic in 1672.	entailment	1
What did the civil war leave the state of Afghanistan's economy in?	In Afghanistan, the mujahideen's victory against the Soviet Union in the 1980s did not lead to justice and prosperity, due to a vicious and destructive civil war between political and tribal warlords, making Afghanistan one of the poorest countries on earth.	entailment	1
In what city's Marriott did the Panthers stay?	The Broncos practiced at Stanford University and stayed at the Santa Clara Marriott.	not_entailment	1
What was the attack on the British weakness?	Scouts had reported the weakness of the British supply chain, so he ordered an attack against the forts Shirley had erected at the Oneida Carry.	not_entailment	1
What reason is given that you should also protest public companies?	"""Brownlee argues that disobedience in opposition to the decisions of non-governmental agencies such as trade unions, banks, and private universities can be justified if it reflects """"a larger challenge to the legal system that permits those decisions to be taken""""."""	entailment	1
How much has global mean surface air temperature changed in the last century?	"""They predict that under a """"business as usual"""" (BAU) scenario, global mean temperature will increase by about 0.3 °C per decade during the [21st] century."""	not_entailment	1
What did Schurf's letter say  Luther's return caused?	"""After the sixth sermon, the Wittenberg jurist Jerome Schurf wrote to the elector: """"Oh, what joy has Dr. Martin's return spread among us!"""	entailment	1
Who gave Genghis Khan the title Khadan?	The title Khagan was not conferred on Genghis until after his death, when his son and successor, Ögedei, took the title for himself and extended it posthumously to his father (as he was also to be posthumously declared the founder of the Yuan dynasty).	entailment	1
Which two Mongol leaders added Persia to the Mongol Empire?	The famous cavalry expedition led by Subutai and Jebe, in which they encircled the entire Caspian Sea defeating all armies in their path, remains unparalleled to this day, and word of the Mongol triumphs began to trickle to other nations, particularly Europe.	entailment	1
What is student motivation about school linked to?	Useful teacher-to-student interactions are crucial in linking academic success with personal achievement.	not_entailment	1
What dilemma is a good example of moral civil disobedience?	"""The Fully Informed Jury Association's publication """"A Primer for Prospective Jurors"""" notes, """"Think of the dilemma faced by German citizens when Hitler's secret police demanded to know if they were hiding a Jew in their house."""""""	entailment	1
Who was responsible for the preliminary archaeological research at Ologesailie and Hyrax Hill?	Later work at the former site was undertaken by Glynn Isaac.	not_entailment	1
What is another name for the Yosemite Freeway?	State Route 41	entailment	1
What is the time period of this statistic?	A study by the American Association of University Women reported that 9.6% of students in the United States claim to have received unwanted sexual attention from an adult associated with education; be they a volunteer, bus driver, teacher, administrator or other adult; sometime during their educational career.	entailment	1
When did Great Britain colonize Australia?	The country of Australia serves as a case study in relation to British settlement and colonial rule of the continent in the eighteenth century, as it was premised on terra nullius, and its settlers considered it unused by its sparse Aboriginal inhabitants.	entailment	1
Who handled pre-game coverage on Westwood One?	Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline reporters.	not_entailment	1
What tribe did Toghrul lead?	Temüjin turned to Toghrul for support, and in response, Toghrul offered his vassal 20,000 of his Keraite warriors and suggested that he also involve his childhood friend Jamukha, who had himself become Khan (ruler) of his own tribe, the Jadaran.	not_entailment	1
What should secondary training provide a student in the secondary stage of school?	He writes that children after the age of 14 should be allowed to choose and specialise in subjects they have an interest in, whether it was reading, manual skills, literature, preaching, medicine, geometry, trade and commerce, craftsmanship, or any other subject or profession they would be interested in pursuing for a future career.	entailment	1
What don't chloroplastidan chloroplasts have?	They differ from glaucophyte and red algal chloroplasts in that they have lost their phycobilisomes, and contain chlorophyll	not_entailment	1
In a type III secretion system, proteins are transported to the host cell in order to do what?	Alternatively, using a type III secretion system, they may insert a hollow tube into the host cell, providing a direct route for proteins to move from the pathogen to the host.	not_entailment	1
Who did Tesla call in the middle of the night?	On one occasion at his laboratory, Tesla worked for a period of 84 hours without sleep or rest.:208 Kenneth Swezey, a journalist whom Tesla had befriended, confirmed that Tesla rarely slept.	entailment	1
Who did the SNP obtain 16 seats from?	The SNP took a further eight seats from the Liberal Democrats and one seat from the Conservatives.	not_entailment	1
What will ensure and create the framework for the Action Plan to work?	At the launch in March 2013, the Secretary of the Ministry of Planning, National Development and Vision 2030 emphasised that climate will be a central issue in the renewed Medium Term Plan that will be launched in the coming months.	entailment	1
Who had five sacks in nine games as a Carolina Panthers starter?	The Panthers line also featured veteran defensive end Jared Allen, a 5-time pro bowler who was the NFL's active career sack leader with 136, along with defensive end Kony Ealy, who had 5 sacks in just 9 starts.	entailment	1
Who created the 2005 theme for Doctor Who?	American composer John Debney created a new arrangement of Ron Grainer's original theme for Doctor Who in 1996.	not_entailment	1
What position did the tax collector that arrested Thoreau get?	The tax collector who arrested him rose to higher political office, and Thoreau's essay was not published until after the end of the Mexican War.	entailment	1
What is the most important item for civil disobedience to follow through?	The key point is that the spirit of protest should be maintained all the way, whether it is done by remaining in jail, or by evading it.	entailment	1
In which year did John Sheepshanks donated a large collection of paintings?	In 1857 John Sheepshanks donated 233 paintings, mainly by contemporary British artists, and a similar number of drawings to the museum with the intention of forming a 'A National Gallery of British Art', a role since taken on by Tate Britain; artists represented are William Blake, James Barry, Henry Fuseli, Sir Edwin Henry Landseer, Sir David Wilkie, William Mulready, William Powell Frith, Millais and Hippolyte Delaroche.	entailment	1
How many Panthers were designated All-Pro?	Carolina started the season 14–0, not only setting franchise records for the best start and the longest single-season winning streak, but also posting the best start to a season by an NFC team in NFL history, breaking the 13–0 record previously shared with the 2009 New Orleans Saints and the 2011 Green Bay Packers.	not_entailment	1
When was Martin Luther ordained as a priest?	In 1507, he was ordained to the priesthood, and in 1508, von Staupitz, first dean of the newly founded University of Wittenberg, sent for Luther, to teach theology.	entailment	1
When did The Norddeutsche Affinerie electroplating plant first begin production?	The German scientist Gottfried Osann invented powder metallurgy in 1830 while determining the metal's atomic mass; around then it was discovered that the amount and type of alloying element (e.g., tin) to copper would affect bell tones.	entailment	1
What state operates the Abraham Lincoln Presidential Library?	Libraries and museums have been established for other presidents, but they are not part of the NARA presidential library system, and are operated by private foundations, historical societies, or state governments, including the Abraham Lincoln, Rutherford B. Hayes, William McKinley, Woodrow Wilson and Calvin Coolidge libraries.	not_entailment	1
What is another term for anti-aircraft warfare?	NATO refers to airborne air defence as counter-air and naval air defence as anti-aircraft warfare.	not_entailment	1
At its onset, what can be measured in blood or saliva?	Melatonin is absent from the system or undetectably low during daytime.	entailment	1
What responsibilities were pharmacy technicians formerly limited to?	Where it was once the case that pharmacists stayed within the dispensary compounding/dispensing medications, there has been an increasing trend towards the use of trained pharmacy technicians while the pharmacist spends more time communicating with patients.	entailment	1
What is one of the thermochemical processes that has been explored besides electrolysis?	Aside from electrolysis driven by photovoltaic or photochemical cells, several thermochemical processes have also been explored.	not_entailment	1
"""What provided for the creation of new orders known as """"provisional elder?"""""""	At the 1996 General Conference the ordination order of transitional deacon was abolished.	entailment	1
When was Warsaw's stock exchange brought back to life?	Warsaw's first stock exchange was established in 1817 and continued trading until World War II.	not_entailment	1
What was the percentage of Germans attending private high schools in 2008?	Percent of students in private high schools reached 11.1%.	entailment	1
What is thermal mass?	Thermal mass is any material that can be used to store heat—heat from the Sun in the case of solar energy.	entailment	1
What distinguishes granal thylakoids?	There are two types of thylakoids—granal thylakoids, which are arranged in grana, and stromal thylakoids, which are in contact with the stroma.	entailment	1
What did mlolongo system lead to?	The election held in 1988 saw the advent of the mlolongo (queuing) system, where voters were supposed to line up behind their favoured candidates instead of a secret ballot.	not_entailment	1
What city north of New York was settled by Huguenots?	A small group of Huguenots also settled on the south shore of Staten Island along the New York Harbor, for which the current neighborhood of Huguenot was named.	not_entailment	1
Where did Huguenots and Walloons settle in England?	They also settled elsewhere in Kent, particularly Sandwich, Faversham and Maidstone—towns in which there used to be refugee churches.	not_entailment	1
Prior to the Persian Gulf War, where and when was the last major American military conflict?	Iraqi forces were battle-hardened after 8 years of war with Iran, and they were well equipped with late model Soviet tanks and jet fighters, but the antiaircraft weapons were crippled; in comparison, the US had no large-scale combat experience since its withdrawal from Vietnam nearly 20 years earlier, and major changes in US doctrine, equipment and technology since then had never been tested under fire.	entailment	1
Besides drugs, what else do specialty pharmacies provide?	Unlike a traditional community pharmacy where prescriptions for any common medication can be brought in and filled, specialty pharmacies carry novel medications that need to be properly stored, administered, carefully monitored, and clinically managed.	not_entailment	1
What is another term for shortening the admission event?	"""However, as one and the same valve usually controls both steam flows, a short cutoff at admission adversely affects the exhaust and compression periods which should ideally always be kept fairly constant; if the exhaust event is too brief, the totality of the exhaust steam cannot evacuate the cylinder, choking it and giving excessive compression (""""kick back"""").[citation needed]"""	not_entailment	1
What is the largest Nigerian city?	Waste management presents problems in a mega city like Lagos and other major Nigerian cities which are linked with economic development, population growth and the inability of municipal councils to manage the resulting rise in industrial and domestic waste.	entailment	1
What is reduced by using plastid transformation for gene modification?	This makes plastid transformation a valuable tool for the creation and cultivation of genetically modified plants that are biologically contained, thus posing significantly lower environmental risks.	entailment	1
Who recovered the strip ball?	Meanwhile, Denver's offense was kept out of the end zone for three plays, but a holding penalty on cornerback Josh Norman gave the Broncos a new set of downs.	not_entailment	1
What year marked the lowest ratings for the drama Lost?	That year, the sixth and final season of Lost became the drama's lowest-rated season since its debut in 2004.	not_entailment	1
What was the first international event broadcast by ABC?	Leonard Goldenson said that ABC's first international activity was broadcasting the coronation of Queen Elizabeth II in June 1953; CBS and NBC were unable to cover the coronation live due to respective issues with technical problems and flight delays.	entailment	1
How much of the population is Hindu?	The upper part of Kenya's Eastern Region is home to 10% of the country's Muslims, where they constitute the majority religious group.	not_entailment	1
Who is Antigone's father in the play?	One of the oldest depictions of civil disobedience is in Sophocles' play Antigone, in which Antigone, one of the daughters of former King of Thebes, Oedipus, defies Creon, the current King of Thebes, who is trying to stop her from giving her brother Polynices a proper burial.	entailment	1
People behaving with civil disobedience that is not-violent is said to make society have more of what?	"""Christian Bay's encyclopedia article states that civil disobedience requires """"carefully chosen and legitimate means,"""" but holds that they do not have to be non-violent."""	not_entailment	1
Where did the Huguenots land in New York originally?	"""It is said that they landed on the coastline peninsula of Davenports Neck called """"Bauffet's Point"""" after traveling from England where they had previously taken refuge on account of religious persecution, four years before the revocation of the Edict of Nantes."""	entailment	1
What type of medicine did otachi focus on?	The Mongols characterized otachi doctors by their use of herbal remedies, which was distinguished from the spiritual cures of Mongol shamanism.	entailment	1
When did Tesla depart from Colorado Springs?	On 7 January 1900, Tesla left Colorado Springs.[citation needed]	entailment	1
When did Dyrrachium  fall to the Normans?	The Albanian forces could not take part in the ensuing battle because it had started before their arrival.	not_entailment	1
What famous July Fourth holiday movie did Fox pay to advertise a sequel of during the Super Bowl?	Fox paid for Deadpool, X-Men: Apocalypse, Independence Day:	entailment	1
What appears to be used exclusively in Newcastle and surrounding areas?	"""Many words, however, appear to be used exclusively in Newcastle and the surrounding area, such as """"Canny"""" (a versatile word meaning """"good"""", """"nice"""" or """"very""""), """"hacky"""" (""""dirty""""), """"netty"""" (""""toilet""""), """"hoy"""" (""""throw"""", from the Dutch gooien, via West Frisian), """"hockle"""" (""""spit"""")."""	entailment	1
What uses a model of the sound's generator?	These coders use a model of the sound's generator (such as the human vocal tract with LPC) to whiten the audio signal (i.e., flatten its spectrum) before quantization.	not_entailment	1
What is the first major city in the stream of the Rhine?	The most important tributaries in this area are the Ill below of Strasbourg, the Neckar in Mannheim and the Main across from Mainz.	not_entailment	1
What is the main denomination of Christians in Kenya?	The only Jewish synagogue in the country is located in the capital, Nairobi.	not_entailment	1
What is the population of the second largest city in California?	Many of southern California's most developed cities lie along or in close proximity to the coast, with the exception of San Bernardino and Riverside.	not_entailment	1
What present-day company did BankAmericard turn into?	In 1976, BankAmericard was renamed and spun off into a separate company known today as Visa Inc.	entailment	1
What  former administrative building was used for the MSP's offices?	The former administrative building of Lothian Regional Council on George IV Bridge was used for the MSP's offices.	entailment	1
How long would Tesla spend gambling sometimes?	On one occasion at his laboratory, Tesla worked for a period of 84 hours without sleep or rest.:208 Kenneth Swezey, a journalist whom Tesla had befriended, confirmed that Tesla rarely slept.	not_entailment	1
What person helped establish the school with a donation?	Founded by the American Baptist Education Society with a donation from oil magnate and wealthiest man in history John D. Rockefeller, the University of Chicago was incorporated in 1890; William Rainey Harper became the university's first president in 1891, and the first classes were held in 1892.	entailment	1
In which year was the Salting Bequest?	The collection of Middle Eastern and Persian rugs and carpets is amongst the finest in the world, many were part of the Salting Bequest of 1909.	entailment	1
Along with public schools, what type of school was recognized under the South African Schools Act?	"""The South African Schools Act of 1996 recognises two categories of schools: """"public"""" (state-controlled) and """"independent"""" (which includes traditional private schools and schools which are privately governed[clarification needed].)"""	entailment	1
What property of the harmonic series 1 + 1/2 + 1/3 + 1/4 + ... shows that there is an infinite number of primes?	However, the harmonic series 1 + 1/2 + 1/3 + 1/4 + ... diverges (i.e., exceeds any given number), so there must be infinitely many primes.	entailment	1
Which president ended the Emergency Energy Conservation Act?	Development of the Strategic Petroleum Reserve began in 1975, and in 1977 the cabinet-level Department of Energy was created, followed by the National Energy Act of 1978.[citation needed]	not_entailment	1
How did the original  Constitution identify its society members ?	According to the second article of the first Greek constitution of 1822, a Greek was defined as any Christian resident of the Kingdom of Greece, a clause removed by 1840.	entailment	1
